h3_index,gpu_count,annual_pue,ac_coupled_base_lcoe,ac_coupled_total_lcoe,dc_coupled_base_lcoe,dc_coupled_total_lcoe,grid_base_lcoe,grid_total_lcoe,natural_gas_base_lcoe,natural_gas_total_lcoe,ng_config,ng_construction_years,latitude,longitude
8412d9bffffffff,750000,1.0980742994551016,0.7034579389126113,1.1447579389126117,0.563777827725488,1.005077827725488,0.0667,1.0630939802859125,0.1304335876348563,1.13071815730638,3x GE 7HA.02,4.05,48.53339322374474,-115.432418793089
8412d9dffffffff,24000,1.0985479572904573,0.7470609747859273,1.1883609747859274,0.5977317152478427,1.0390317152478428,0.0615,1.05741213313465,0.1766693393949322,1.1620073511982354,1x Siemens SGT-A45,4.0,48.71163002373002,-116.42743460042368
8412d9dffffffff,50000,1.0985479572904573,0.7470609747859273,1.1883609747859274,0.5977317152478427,1.0390317152478428,0.0615,1.0574121331346502,0.1590099564255753,1.144347968228879,2x Siemens SGT-800,4.0,48.71163002373002,-116.42743460042368
8412d9dffffffff,750000,1.0985479572904573,0.7470609747859273,1.1883609747859274,0.5977317152478427,1.0390317152478428,0.0615,1.0574121331346498,0.1217900193187021,1.1216432991035477,3x GE 7HA.02,4.05,48.71163002373002,-116.42743460042368
8412da1ffffffff,24000,1.0979725058427054,0.640969576617085,1.082269576617085,0.5120537055783583,0.9569932825042522,0.0587,1.0551054859560611,0.2223919894488624,1.208246420545363,1x Siemens SGT-A45,4.05,48.32183954556986,-118.79328645883768
8412da1ffffffff,50000,1.0979725058427054,0.640969576617085,1.082269576617085,0.5120537055783583,0.9569932825042524,0.0587,1.0551054859560614,0.2030772373746761,1.188931668471177,2x Siemens SGT-800,4.05,48.32183954556986,-118.79328645883768
8412da1ffffffff,750000,1.0979725058427054,0.640969576617085,1.082269576617085,0.5120537055783583,0.9569932825042524,0.0587,1.055105485956061,0.1542750001077139,1.1546523066913452,3x GE 7HA.02,4.05,48.32183954556986,-118.79328645883768
8412da3ffffffff,24000,1.0988229182164395,0.7440763682609464,1.1853763682609464,0.6013678832054925,1.0426678832054923,0.0587,1.0543347964245025,0.222316140367919,1.2074075888281766,1x Siemens SGT-A45,4.05,48.0630165455582,-118.3933842560545
8412da3ffffffff,50000,1.0988229182164395,0.7440763682609464,1.1853763682609464,0.6013678832054925,1.0426678832054923,0.0587,1.0543347964245031,0.2046730747720693,1.1897645232323273,2x Siemens SGT-800,4.05,48.0630165455582,-118.3933842560545
8412da3ffffffff,750000,1.0988229182164395,0.7440763682609464,1.1853763682609464,0.6013678832054925,1.0426678832054923,0.0587,1.0543347964245025,0.155233672287484,1.154836756541186,3x GE 7HA.02,4.05,48.0630165455582,-118.3933842560545
8412da5ffffffff,24000,1.098069349018524,,,0.4773022079186288,0.9186022079186288,0.0587,1.0550176612202251,0.2223833484526613,1.2081508330606838,1x Siemens SGT-A45,4.05,48.21709778669041,-119.37769378000056
8412da5ffffffff,50000,1.098069349018524,,,0.4773022079186288,0.9186022079186288,0.0587,1.0550176612202251,0.2047373336178042,1.190504818225827,2x Siemens SGT-800,4.05,48.21709778669041,-119.37769378000056
8412da5ffffffff,750000,1.098069349018524,,,0.4773022079186288,0.9186022079186288,0.0587,1.0550176612202251,0.155250548469771,1.1555396277338137,3x GE 7HA.02,4.05,48.21709778669041,-119.37769378000056
8412da7ffffffff,24000,1.0988953201977512,0.8038373492541748,1.2451373492541749,0.6140123646603071,1.055312364660307,0.0587,1.054269236947322,0.2223096876896826,1.2073362322675314,1x Siemens SGT-A45,4.05,47.96013660876842,-118.97749714445942
8412da7ffffffff,50000,1.0988953201977512,0.8038373492541748,1.2451373492541749,0.6140123646603071,1.055312364660307,0.0587,1.0542692369473223,0.2046669052501738,1.189693449828023,2x Siemens SGT-800,4.05,47.96013660876842,-118.97749714445942
8412da7ffffffff,750000,1.0988953201977512,0.8038373492541748,1.2451373492541749,0.6140123646603071,1.055312364660307,0.0587,1.054269236947322,0.1552283022740753,1.154765526529563,3x GE 7HA.02,4.05,47.96013660876842,-118.97749714445942
8412da9ffffffff,24000,1.0979192400240088,0.7155301662286816,1.1568301662286815,0.5789372197044511,1.0202372197044511,0.0587,1.0551537980442052,0.2223967452141682,1.2082990052779312,1x Siemens SGT-A45,4.0,48.6815601706644,-118.60732290391506
8412da9ffffffff,50000,1.0979192400240088,0.7155301662286816,1.1568301662286815,0.5789372197044511,1.0202372197044511,0.0587,1.0551537980442054,0.2030807460075448,1.188983006071308,2x Siemens SGT-A45,4.0,48.6815601706644,-118.60732290391506
8412da9ffffffff,750000,1.0979192400240088,0.7155301662286816,1.1568301662286815,0.5789372197044511,1.0202372197044511,0.0587,1.0551537980442054,0.154277655485516,1.1547034956172428,2x GE 9HA.01,4.05,48.6815601706644,-118.60732290391506
8412dabffffffff,24000,1.0981484843625404,0.5855765219881703,1.0268765219881704,0.4789497099693342,0.9202497099693344,0.0587,1.054945906789628,0.2223762848305587,1.20807273255229,1x Siemens SGT-A45,4.05,48.42370356484366,-118.20595288924991
8412dabffffffff,50000,1.0981484843625404,0.5855765219881703,1.0268765219881704,0.4789497099693342,0.9202497099693344,0.0587,1.054945906789628,0.2047305808060389,1.19042702852777,2x Siemens SGT-800,4.05,48.42370356484366,-118.20595288924991
8412dabffffffff,750000,1.0981484843625404,0.5855765219881703,1.0268765219881704,0.4789497099693342,0.9202497099693344,0.0587,1.054945906789628,0.155244674701606,1.1554616706166931,3x GE 7HA.02,4.05,48.42370356484366,-118.20595288924991
8412dadffffffff,24000,1.09793793512626,0.5445739341228729,0.9858739341228728,0.444343572132969,0.885643572132969,0.0587,1.0551368410558604,0.2223950772793533,1.208280549924655,1x Siemens SGT-A45,4.05,48.57782433264744,-119.19498238927092
8412dadffffffff,50000,1.09793793512626,0.5445739341228729,0.9858739341228728,0.444343572132969,0.885643572132969,0.0587,1.0551368410558606,0.2030795152712343,1.188964987916536,2x Siemens SGT-800,4.05,48.57782433264744,-119.19498238927092
8412dadffffffff,750000,1.09793793512626,0.5445739341228729,0.9858739341228728,0.444343572132969,0.885643572132969,0.0587,1.0551368410558606,0.1542767235265937,1.154685528940075,3x GE 7HA.02,4.05,48.57782433264744,-119.19498238927092
